DEP_ID,CRS_NUM,CRS_CODE,CRS_NAME,CRS_DESC,CRS_GEAF,CRS_GEGH,CRS_DCOREL,CRS_UNITSTR,CRS_UNITS,CRS_PREREQ,CRS_COREQ,CRS_CROSS,CRS_NOTE
AMST,135,AMST 135mgw,Peoples and Cultures of the Americas,"An introduction to cultures and people in the Americas; the social, historical, economic and cultural formations that together make up the Latino/a American imaginary.",C,G,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecute, one discussion </li></ul>"
AMST,140,AMST 140gw,Borderlands in a Global Context,"Interdisciplinary survey of theory and borderland site cases, national sentiment, linguistic and cultural conflicts, exploration of local, regional, and national identities in cultural contact zones.",C,G,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecture and one discussion </li></ul>"
AMST,150,AMST 150gw,The American War in Viet Nam,Examination of the ways that different nations and cultures have remembered the Vietnam War or the American War as it is called in Vietnam. (Duplicates credit in former AMST 377),B,G,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecture and one discussion </li></ul>"
AMST,200,AMST 200mg,Introduction to American Studies and Ethnicity,"Introduction to American studies and ethnic studies. Provides an overview of major theories, concepts, and issues.",C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,204,AMST 204g,Introduction to Native Studies,"Overview of Native American studies, including Indigenous intellectualism and resistance through language revitalization, film-making, and the recognition of one another.",C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
AMST,205,AMST 205g,Introduction to American Popular Culture,"Examines the relation between U.S. national culture, race, and popular culture.",B,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
AMST,206,AMST 206mg,The Politics and Culture of the 1960s,Examines political and cultural change in the United States during the decade of the 1960s.,B,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,211,AMST 211g,Sex in America,"Explores how the proliferation of sexual cultures, identities, politics shape everyday lives in the United States and beyond.",C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
AMST,230,AMST 230g,Introduction to African American Studies,Examines the socio-historical and political imperatives of multi-disciplinary scholarship foundational to the study of African Americans.,C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
AMST,250,AMST 250mgw,The African Diaspora,"History, political-economy and aesthetics of the African Diaspora with emphasis on Latin America, the Caribbean, Europe and Africa.",C,G,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecture, one discussion </li></ul>"
AMST,274,AMST 274mw,Exploring Ethnicity through Film,Examination of the constructions of American ethnicity/race in film.,,G,False,,4,,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Please note that this course does not fulfill Category C: Social Analysis. </li></ul>"
AMST,301,AMST 301gp,"America, the Frontier, and the New West","Introduction to an interdisciplinary study of American political, cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200, ENGL 263",B,H,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecture and one discussion </li></ul>"
AMST,312,AMST 312,Documenting Latinx Los Angeles Food Cultures,"Explores Latinx food in Los Angeles through an anthropological lens. Students experience, document and analyze local food knowledge and traditions through active field study.",,,False,,4,,,ANTH-312,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20241/classes/anth/"">ANTH</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20241/classes/amst/"">AMST</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20241/course/anth-312/"">ANTH 312</a>.</li></ul>"
AMST,320,AMST 320,Social Construction of Race and Citizenship,"Comparative perspective on the social construction of race and citizenship. Social, economic and political experiences of selected groups in the U.S. are examined.",,,False,,4,,,,"<ul class=""notes""></ul>"
AMST,325,AMST 325gw,The Middle East in Hollywood,"An examination of how Hollywood representations of the Middle East have changed over the last 100 years, focusing on how representations influence perceptions and policies.",A,G,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
AMST,330,AMST 330m,Black Music and the Political Imagination,"Explores the changing political meanings of black music throughout the 20th century, from freedom to a threat to civil order, from racial integration to Black liberation.",,,False,,4,,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,348,AMST 348m,Race and the Environment,"Relationships between environmentalism, environmental problems and racial-ethnic minorities. Rise of environmental justice movement. Assessment of social science methods used to investigate these relationships. Duplicates credit in the former GEOG-350.",,,False,,4,,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,350,AMST 350,Junior Seminar in American Studies and Ethnicity,"Advanced study in interdisciplinary theories and methods for analyzing race and ethnicity in the United Stes, including a comparative study of topics such as inequality, gender, and class.",,,False,,4,,,,"<ul class=""notes""></ul>"
AMST,365,AMST 365,Leadership in the Community -- Internship,8-10 hours per week in a community-based internship plus 2 hour class discussion. Theoretical and practical issues associated with community leadership.,,,False,,4,,,,"<ul class=""notes""></ul>"
AMST,373,AMST 373m,History of the Mexican American,Racial and cultural background of Mexico; immigration and conquest; the Mexican in California and the southwest; the rise of contemporary Mexican-American consciousness.,,,False,,4,,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,379,AMST 379,Arabs in America,"Arab immigration and acculturation in the U.S. from late-19th century to present; emphasis on community formation, race, religion and gender.",,,False,,4,,,,"<ul class=""notes""></ul>"
AMST,389,AMST 389m,Carceral Geographies,"Focusing on California, interdisciplinary research teams will study why there are so many new US prisons. What is their relationship to shopping malls, gated communities, globalization?",,,False,,4,Prerequisite: AMST 200,,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20241/course/amst-200/"">AMST 200</a></li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,392,AMST 392,Undergraduate Research Methods,Examination of processes of scholarly research; quantitative and qualitative research methods; faculty mentorship; experiential learning; research proposal writing; careers in research. Sophomore or junior standing in the major. Departmental approval.,,,False,,2,,,,"<ul class=""notes""></ul>"
AMST,442,AMST 442,"American Literature, 1920 to the Present","American poetry, fiction, and drama since World War I with special attention to Eliot, Frost, Hemingway, Fitzgerald, O'Neill, Stevens, Faulkner, and Nabokov.",,,False,,4,,Corequisite: ENGL 263,ENGL-442,"<ul class=""notes""><li class=""coreq""><strong>Corequisite:</strong> <a href=""https://classes.usc.edu/term-20241/course/engl-263/"">ENGL 263</a></li><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20241/classes/engl/"">ENGL</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20241/classes/amst/"">AMST</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20241/course/engl-442/"">ENGL 442</a>.</li></ul>"
AMST,445,AMST 445,African American Anthropology,"An examination of anthropological research on race and African American culture, from the 18th century to the present.",,,False,,4,,,ANTH-445,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20241/classes/anth/"">ANTH</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20241/classes/amst/"">AMST</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20241/course/anth-445/"">ANTH 445</a>.</li></ul>"
AMST,448,AMST 448m,Chicano and Latino Literature,"Development of the poetry, essay, short story and novel of the Chicano and Latino peoples of the United States, with particular emphasis on the differentiating characteristics between the multiple cultures that constitute the Latino populations.",,,False,,4,,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,452,AMST 452m,"Race, Gender and Sexuality","Examination of sexual discourses in the United States in the context of slavery, empire, sex work, labor markets, schools and prisons.",,,False,,4,,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,490,AMST 490x,Directed Research,Individual research and readings. Not available for graduate credit.,,,False,"1.0-8.0 units, max 12",,,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Junior, Senior</li></ul>"
AMST,519,AMST 519,"Indigenous, Decolonial and Transhemispheric American Studies","Evaluate pressing social science and humanities concerns hemispherically in relation to first peoples, decolonialization, land, cultural memory, and politics within comparative ethnic studies.",,,False,,4,,,,"<ul class=""notes""></ul>"
AMST,580,AMST 580,Readings in Cultural Studies,"Seminar in theoretical approaches to cultural studies, with an emphasis on the analysis of race, gender, sexuality, and class in the U.S.",,,False,,4,,,,"<ul class=""notes""></ul>"
AMST,590,AMST 590,Directed Research,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the program. Graded CR/NC.,,,False,1.0-12.0 units,,,,,"<ul class=""notes""></ul>"
AMST,599,AMST 599,Special Topics,Seminar in selected topics in American studies and ethnicity.,,,False,"2.0-4.0 units, max 8",,,,,"<ul class=""notes""></ul>"
AMST,635,AMST 635,Critical Spatial Methods,An overview of key methodological and theoretical approaches to the study of race and space.,,,False,,4,,,,"<ul class=""notes""></ul>"
AMST,701,AMST 701,Contemporary Theories of American Studies and Ethnicity,Seminar in representative theoretical works in the fields of American Studies and Ethnic Studies published in the past fifteen years.,,,False,"4.0 units, max 8",,,,,"<ul class=""notes""></ul>"
AMST,790,AMST 790,Research,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,,"<ul class=""notes""></ul>"
AMST,794A,AMST 794a,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,,,,"<ul class=""notes""></ul>"
AMST,794B,AMST 794b,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,Prerequisite: AMST 794A,,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20241/course/amst-794A/"">AMST 794A</a></li></ul>"
AMST,794C,AMST 794c,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,Prerequisite: AMST 794B,,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20241/course/amst-794B/"">AMST 794B</a></li></ul>"
AMST,794D,AMST 794d,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,Prerequisite: AMST 794C,,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20241/course/amst-794C/"">AMST 794C</a></li></ul>"
AMST,794Z,AMST 794z,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,0,Prerequisite: AMST 794D,,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20241/course/amst-794D/"">AMST 794D</a></li></ul>"
ANTH,101,ANTH 101g,"Body, Mind and Healing","The body, illness and healing from a cultural perspective, including comparative studies of folk healing systems, curing rituals and Western biomedical practices.",C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
ANTH,200,ANTH 200Lg,The Human Animal,"Foundations of the human species. Examination of scientific evidence from Darwinian theory, primate behavior, fossils, and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.",,,False,,4,,,HBIO-200,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20241/classes/hbio/"">HBIO</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20241/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20241/course/hbio-200/"">HBIO 200</a>.</li><li class=""alert""><strong>Note:</strong> Register for lecture and one lab </li></ul>"
ANTH,202,ANTH 202g,Archaeology,"Archaeology as the means of investigating our shared human past, from the origins of humanity to the foundations of current civilization.",C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""alert""><strong>Note:</strong> Register for Lecture and one Discussion </li></ul>"
ANTH,205,ANTH 205g,Introduction to Global Studies and Cross-cultural Research,"The effects of globalization on social life in diverse communities, approaching related issues from an ethnographic perspective. Gateway course for the Global Studies Major.",C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
ANTH,220,ANTH 220g,Anthropology of the Environment,Introduces students to anthropological inquiry into human relationships with the environment and provides foundational training in qualitative research methods to investigate environmental issues.,C,,False,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
ANTH,255,ANTH 255,"Culture, Performance and Personal Narrative",Explore personal narratives: Stories people tell about their own lives and experiences as objects of artistic expression and sites for formation of individual and social identity.,,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,263,ANTH 263g,Exploring Culture through Film,"Concepts of social anthropology, using filmic representations of societies throughout the world. Gateway course for the Anthropology major.",C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""alert""><strong>Note:</strong> Register for Lecture and one discussion </li></ul>"
ANTH,306,ANTH 306,Biology of the Non-Human Primates,"Behavior and ecology of living nonhuman primates, with an emphasis on field studies of apes and monkeys. Topics include aggression, communication, reproduction and cognition.",,,False,,4,,,HBIO-306,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20241/classes/hbio/"">HBIO</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20241/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20241/course/hbio-306/"">HBIO 306</a>.</li></ul>"
ANTH,312,ANTH 312,Documenting Latinx Los Angeles Food Cultures,"Explores Latinx food in Los Angeles through an anthropological lens. Students experience, document and analyze local food knowledge and traditions through active field study.",,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,315,ANTH 315gw,Native North Americans,"Indigenous peoples of North America: major cultural themes, contemporary issues, language revitalization, native sovereignty, environmental issues, decolonization.",C,G,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
ANTH,318,ANTH 318,Ethics and Global Heritage,"Archaeology and global heritage debates, laws, ethical conundrums, and stakeholder perspectives reveal goals and guiding values of societys exploration of the past.",,,False,,4,,,REL-304,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20241/classes/rel/"">REL</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20241/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20241/course/rel-304/"">REL 304</a>.</li></ul>"
ANTH,325,ANTH 325,Global Studies Research Methods,"Methods for field research in international settings include ethnography, archival work, surveying and documentation; preparation for overseas research and senior thesis. Recommended preparation: ANTH-205.",,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,327,ANTH 327,Media Ethnography and Living Archives,"Course explores collections and archives through ethnographic methods, cultural history and media production.",,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,333,ANTH 333mg,Forms of Folklore,"Introduction to folklore as a discipline, including folklore research methods and theory. Core course for the minor in Folklore and Popular Culture.",C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Register for Lecture and one Discussion </li></ul>"
ANTH,343,ANTH 343,Heritage Archaeology,"An introduction to the field of heritage studies as it is practiced today, examining archaeological, ethnohistorical and ethnographic theory and methodologies, mixed-methods approaches and research.",,,False,,4,,,,"<ul class=""notes""><li class=""alert""><strong>Note:</strong> . . </li></ul>"
ANTH,345,ANTH 345,"Politics, Social Organization and Law","Legal systems are embedded in political, social and historical contexts: comparative study of legal systems throughout history and around the world.",,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,355,ANTH 355,Urban Anthropology,"Anthropological study of city life and urban social experience. Ethnography and social theory of cities including social space, public policy, ethnic politics, globalization.",,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,371,ANTH 371mg,Cross-Cultural Research on Urban Gangs,"Youth gang dynamics and their effects on institutions. Comparative analysis of Asian, African, and Mexican American gangs.",C,,True,,4,,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Register for Lecture and one Disussion </li></ul>"
ANTH,373,ANTH 373,"Magic, Witchcraft and Healing","Analysis of the practices of witches and witch doctors, priests, diviners and traditional healers in Western and non-Western societies, relating their practices to religion and medicine.",,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,380,ANTH 380,Sex and Gender in Anthropological Perspective,Cultural construction of gender in a number of non-western societies is compared to ideas of sex and sexual differences in American society.,,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,393,ANTH 393,Directed Internship,"Real-world work experience in an internship position, while also learning to apply anthropological theory and research methods to complete a related research project. Enrollment requires permission from department.",,,False,"2.0-8.0 units, max 8",,,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following major(s): Anthropology, Anthropology (Visual Anthropology), Global Studies, Visual Anthropology</li><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Junior, Master Student, Senior, Senior (fifth year), Sophomore</li><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences</li></ul>"
ANTH,406,ANTH 406,Theory and Method in Human Evolutionary Biology,Historical and theoretical approaches to major issues in the field of human evolutionary biology. Capstone course in which students will undertake an original independent research project.,,,False,,4,Prerequisite: HBIO 200,,HBIO-406,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20241/course/hbio-200/"">HBIO 200</a></li><li class=""restriction""><strong>Restriction:</strong>  Registration closed to the following class level(s): Freshmen, Junior, Sophomore</li><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20241/classes/hbio/"">HBIO</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20241/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20241/course/hbio-406/"">HBIO 406</a>.</li></ul>"
ANTH,411,ANTH 411,Thesis Seminar in Ethnographic Analysis,"Social analysis of qualitative and ethnographic research data, advanced ethnographic writing and representation. Capstone course for Anthropology Major.",,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,445,ANTH 445,African American Anthropology,"An examination of anthropological research on race and African American culture, from the 18th century to the present.",,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,485,ANTH 485,Global Studies Capstone Seminar,Provides senior Global Studies majors with the practical and theoretical skills needed to complete the required Senior Capstone project in Global Studies.,,,False,,4,,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following major(s): Global Studies</li><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Senior</li><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences</li></ul>"
ANTH,490,ANTH 490x,Directed Research,Individual research and readings. Not available for graduate credit.,,,False,"1.0-8.0 units, max 12",,,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Junior, Senior</li></ul>"
ANTH,491,ANTH 491,Directed Research for Honors,Individually guided research and readings culminating in the production of an honors thesis. prerequisite: 3.0 gpa; 201g plus 8 units of upper division ANTH courses.,,,False,,4,Prerequisite: ANTH 201,,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20241/course/anth-201/"">ANTH 201</a></li></ul>"
ANTH,499,ANTH 499,Special Topics,"Current literature: social change, comparative institutions, urbanization, ideology.",,,False,"2.0-4.0 units, max 8",,,,,"<ul class=""notes""></ul>"
ANTH,554,ANTH 554,Women in Global Perspective,"Women and immigration, employment, and household and family relations in the context of the global economy; women's social and political movements in diverse cultural contexts.",,,False,,4,,,SWMS-554,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20241/classes/swms/"">SWMS</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20241/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20241/course/swms-554/"">SWMS 554</a>.</li></ul>"
ANTH,570,ANTH 570,Topics in Ethnographic Media Arts,A hands-on approach to contemporary topics in ethnographic media arts and creative nonfiction cinema.,,,False,"2.0-6.0 units, max 12",,,,IML-570,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20241/classes/iml/"">IML</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20241/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20241/course/iml-570/"">IML 570</a>.</li></ul>"
ANTH,577,ANTH 577,Advanced Anthropological Media Seminar,"A hands-on laboratory-based survey of post-production technologies, including editing both new and older footage. Students should be finishing their own documentaries.",,,False,"4.0 units, max 8",,Prerequisite: ANTH 576,,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20241/course/anth-576/"">ANTH 576</a></li></ul>"
ANTH,590,ANTH 590,Directed Research,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded C/NC.,,,False,1.0-12.0 units,,,,,"<ul class=""notes""></ul>"
ANTH,602,ANTH 602,The Anthropology of Popular Culture,"The relationship between anthropology and popular culture is explored through a critical examination of the category ""popular culture.""",,,False,,4,,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Doctoral Student, Master Student</li></ul>"
ANTH,609,ANTH 609,Global Biopolitics,"Develops appreciation of the concept of ""biopolitics"" to place alongside ""bioethics"" -- along with corresponding philosophical notions of life and death.",,,False,,4,,,,"<ul class=""notes""></ul>"
ANTH,790,ANTH 790,Research,Research leading to the doctorate. Maximum number of units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Doctoral Student</li></ul>"
