CRS_ID,DEP_ID,CRS_NUM,CRS_CODE,CRS_NAME,CRS_DESC,CRS_GEAF,CRS_GEGH,CRS_DCOREL,CRS_UNITSTR,CRS_UNITS,CRS_PREREQ,CRS_COREQ,CRS_CROSS,CRS_NOTE,CRS_STARTTERM,CRS_ENDTERM
AMST-252,AMST,252,AMST 252mgw,Black Social Movements in the U.S.,"This course examines black social movements for freedom, justice, equality, and self determination. Beginning with Reconstruction, movements include labor, civil rights, radical feminism, socialism, reparations, Black Nationalism, prisoners' rights, and Hip Hop.",C,G,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'multicultural': [""Diversity:This course satisfies the university's diversity requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
AMST-274,AMST,274,AMST 274mw,Exploring Ethnicity through Film,Examination of the constructions of American ethnicity/race in film.,,G,False,,4,,,,"{'multicultural': [""Diversity:This course satisfies the university's diversity requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
AMST-301,AMST,301,AMST 301gp,"America, the Frontier, and the New West","Introduction to an interdisciplinary study of American political, cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200, ENGL 263",B,H,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
AMST-326,AMST,326,AMST 326,Latinx Media Studies,"Introduces students to critical analyses of media texts, industries and technologies that shape the lives of Latinx communities in the United States.",,,False,,4,,,COMM-326,"{'crosslist': ['Crosslist:This course is offered by theCOMMdepartment but may qualify for major credit inAMST. To register, enroll inCOMM 326.']}",,
AMST-328,AMST,328,AMST 328,Asian American Politics,"Examines political attitudes, behavior and participation of Asian Americans in diverse U.S. society.",,,False,,4,,,POSC-328,"{'crosslist': ['Crosslist:This course is offered by thePOSCdepartment but may qualify for major credit inAMST. To register, enroll inPOSC 328.']}",,
AMST-343,AMST,343,AMST 343,"Food, Health and Culture in Los Angeles",Examination of Los Angeles diverse food cultures as well as the food justice issues that affect many low-income residents of neighborhoods surrounding USC campus.,,,False,,4,,,,{},,
AMST-345,AMST,345,AMST 345,Law and American Indian Studies,Examines indigenous sovereignties and the historical andcontemporary legal histories and cases which inform them.,,,False,,4,,,,{},,
AMST-350,AMST,350,AMST 350,Junior Seminar in American Studies and Ethnicity,"Advanced study in interdisciplinary theories and methods for analyzing race and ethnicity in the United Stes, including a comparative study of topics such as inequality, gender, and class.",,,False,,4,,,,{},,
AMST-365,AMST,365,AMST 365,Leadership in the Community -- Internship,8-10 hours per week in a community-based internship plus 2 hour class discussion. Theoretical and practical issues associated with community leadership.,,,False,,4,,,,{},,
AMST-383,AMST,383,AMST 383,Jews in American Popular Culture,"Social and cultural history of American Jewish contributions to the arts, science, literature, economics and politics.",,,False,,4,,,JS-383,"{'crosslist': ['Crosslist:This course is offered by theJSdepartment but may qualify for major credit inAMST. To register, enroll inJS 383.']}",,
AMST-392,AMST,392,AMST 392,Undergraduate Research Methods,Examination of processes of scholarly research; quantitative and qualitative research methods; faculty mentorship; experiential learning; research proposal writing; careers in research. Sophomore or junior standing in the major. Departmental approval.,,,False,,2,,,,{},,
AMST-406,AMST,406,AMST 406,Social Media Storytelling for Latinx Audiences,Create native journalistic content for current social media and emerging platforms with an emphasis on engaging content for Latinx audiences and underrepresented communities.,,,False,,2,,,JOUR-406,"{'crosslist': ['Crosslist:This course is offered by theJOURdepartment but may qualify for major credit inAMST. To register, enroll inJOUR 406.']}",,
AMST-414,AMST,414,AMST 414,Latina/o Screen Cultures,"Examination of Latino/a moving image production including film, video, and digital media in the context of the politics of race, class, gender, sexuality, and international relations.",,,False,,4,,,CTCS-414,"{'crosslist': ['Crosslist:This course is offered by theCTCSdepartment but may qualify for major credit inAMST. To register, enroll inCTCS 414.']}",,
AMST-424,AMST,424,AMST 424m,Political Participation and American Diversity,Examines how diverse groups in the U.S. interact with the American political system.,,,False,,4,,,POSC-424,"{'multicultural': [""Diversity:This course satisfies the university's diversity requirement.""], 'crosslist': ['Crosslist:This course is offered by thePOSCdepartment but may qualify for major credit inAMST. To register, enroll inPOSC 424.']}",,
AMST-490,AMST,490,AMST 490x,Directed Research,Individual research and readings. Not available for graduate credit.,,,False,"1.0-8.0 units, max 12",,,,,"{'restriction': ['Restriction:Registration open to the following class level(s): Junior, Senior']}",,
AMST-492,AMST,492,AMST 492,Research Methods in American Studies and Ethnicity,"Develop research proposal, methods and research for a thesis or capstone project for students in American Studies and Ethnicity, American Popular Culture or related fields.",,,False,,4,,,,{},,
AMST-500,AMST,500,AMST 500,Introduction to American Studies and Ethnicity,"An exploration of themes, theoretical influences, and methodological approaches current in American studies and ethnic studies. Open to first-year graduate students in American Studies and Ethnicity only.",,,False,,4,,,,"{'restriction': ['Restriction:Registration closed to the following major(s): American Studies', 'Restriction:Registration closed to the following class level(s): Master Student, Doctoral Student']}",,
AMST-552,AMST,552,AMST 552,Archives and Subcultures,"Introduction to the practice of archival research with an emphasis on the literary and historical methods of documenting subcultural groups, particularly racial and sexual minorities.",,,False,,4,,,,{},,
AMST-554,AMST,554,AMST 554,Readings in Chicano/Latino History,"Readings, analyses, and discussion of various approaches, topics, and genres in the field of Chicano/Latino history.",,,False,,4,,,,{},,
AMST-562,AMST,562,AMST 562,The Practice of Ethnography,Major approaches to ethnographic fieldwork are explored in classic cases.,,,False,,4,,,ANTH-562,"{'crosslist': ['Crosslist:This course is offered by theANTHdepartment but may qualify for major credit inAMST. To register, enroll inANTH 562.']}",,
AMST-590,AMST,590,AMST 590,Directed Research,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the program. Graded CR/NC.,,,False,1.0-12.0 units,,,,,{},,
AMST-593,AMST,593,AMST 593,Practicum in Teaching the Liberal Arts,"Practical principles for the long term development of effective teaching within college disciplines, intended for teaching assistants in American Studies and Ethnicity. Graded CR/NC. (Duplicates credit in MDA 593)",,,False,,2,,,,{},,
AMST-680,AMST,680,AMST 680,Interdisciplinary Research Seminar in Cultural Studies,Explores theoretical approaches to cultural studies as an interdisciplinary field and guides students through the design and completion of a journal-quality research paper. Recommended preparation: graduate reading course in cultural studies,,,False,,4,,,,{},,
AMST-700,AMST,700,AMST 700,Theories and Practices of Professional Development,Offers students a structured environment in which to write their dissertation proposals and focuses on professional development. Completion of qualifying exam. Graded CR/NC.,,,False,,4,,,,{},,
AMST-790,AMST,790,AMST 790,Research,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,,{},,
AMST-794A,AMST,794A,AMST 794a,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,,,,{},,
AMST-794B,AMST,794B,AMST 794b,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,AMST 794A,,,{'prereq': ['Prerequisite:AMST 794A']},,
AMST-794C,AMST,794C,AMST 794c,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,AMST 794B,,,{'prereq': ['Prerequisite:AMST 794B']},,
AMST-794D,AMST,794D,AMST 794d,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,AMST 794C,,,{'prereq': ['Prerequisite:AMST 794C']},,
AMST-794Z,AMST,794Z,AMST 794z,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,0,AMST 794D,,,{'prereq': ['Prerequisite:AMST 794D']},,
ANTH-101,ANTH,101,ANTH 101g,"Body, Mind and Healing","The body, illness and healing from a cultural perspective, including comparative studies of folk healing systems, curing rituals and Western biomedical practices.",C,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
ANTH-105,ANTH,105,ANTH 105g,"Culture, Medicine and Politics","Survey of the impact of public institutions, private interests and cultural practices on health and the delivery of health care.",,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
ANTH-140,ANTH,140,ANTH 140g,Mesoamerican Cosmovision and Culture,"An exploration of the nature and contributions of pre-Columbian high civilizations (Maya, Aztecs, etc.) and their descendants as they resist and assimilate to the modern world.",C,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:register for lecture and Disc']}",,
ANTH-200,ANTH,200,ANTH 200Lg,The Human Animal,"Foundations of the human species. Examination of scientific evidence from Darwinian theory, primate behavior, fossils, and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.",,,False,,4,,,HBIO-200,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'crosslist': ['Crosslist:This course is offered by theHBIOdepartment but may qualify for major credit inANTH. To register, enroll inHBIO 200.']}",,
ANTH-201,ANTH,201,ANTH 201g,Introduction to Social and Cultural Anthropology,"Introduction to social and cultural anthropology, emphasizing the study of human values and social structures across diverse examples. Readings in ethnography and social analysis. Gateway course for the Anthropology Major.",C,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:Register for lecture and discussion']}",,
ANTH-202,ANTH,202,ANTH 202g,Archaeology,"Archaeology as the means of investigating our shared human past, from the origins of humanity to the foundations of current civilization.",C,,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:Register for lecture and discussion']}",,
ANTH-203,ANTH,203,ANTH 203g,Global Media,"An anthropological approach to examine social and cultural practices of media production, circulation and consumption, engaging with a variety of multimedia.",C,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
ANTH-205,ANTH,205,ANTH 205g,Introduction to Global Studies and Cross-cultural Research,"The effects of globalization on social life in diverse communities, approaching related issues from an ethnographic perspective. Gateway course for the Global Studies Major.",C,,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:Register for lecture and discussion']}",,
ANTH-220,ANTH,220,ANTH 220g,Anthropology of the Environment,Introduces students to anthropological inquiry into human relationships with the environment and provides foundational training in qualitative research methods to investigate environmental issues.,C,,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:. . .']}",,
ANTH-263,ANTH,263,ANTH 263g,Exploring Culture through Film,"Concepts of social anthropology, using filmic representations of societies throughout the world. Gateway course for the Anthropology major.",C,,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:Register for lecture and discussion']}",,
ANTH-272,ANTH,272,ANTH 272,Mindfulness and Culture,"Examine the concept of mindfulness as a cultural practice in various spiritual traditions and contemporary social settings. Mindfulness, or attentive awareness of the present moment.",,,False,,4,,,,{},,
ANTH-273,ANTH,273,ANTH 273gw,"Shamans, Spirits and Ancestors","An intensive study of local systems of belief and knowledge in selected societies in the Pacific, Asia, Africa, the Caribbean and Latin America with emphasis on ideas of the spirit world.",C,G,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
ANTH-300,ANTH,300,ANTH 300,"Evolution, Ecology, and Culture","The roles of biology, culture, and the environment in shaping human society, integrating evolutionary biology and cultural theory. Duplicates credit in former ANTH 300.",,,False,,4,,,HBIO-300,"{'crosslist': ['Crosslist:This course is offered by theHBIOdepartment but may qualify for major credit inANTH. To register, enroll inHBIO 300.']}",,
ANTH-308,ANTH,308,ANTH 308,Origins and Evolution of Human Behavior,"Examination of the evidence for and against evolutionary bases of a range of human behaviors. Topics include sex differences, human reproductive strategies, race, IQ, human ecology. Duplicates credit in former ANTH 308.",,,False,,4,,,HBIO-308,"{'crosslist': ['Crosslist:This course is offered by theHBIOdepartment but may qualify for major credit inANTH. To register, enroll inHBIO 308.']}",,
ANTH-316,ANTH,316,ANTH 316mgp,Native Americans in American Public Life,Role of Native Americans in American public life from colonial times to the present; Native American societies and governments and their relations to the U.S.,C,H,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'multicultural': [""Diversity:This course satisfies the university's diversity requirement.""], 'alert': ['Note:Register for lecture and discussion']}",,
ANTH-321,ANTH,321,ANTH 321,"Space, Place, Perception and Power","The social construction of spaces, places, and landscapes and their reciprocal relationships to human embodied experiences, processes of identity formation and society.",,,False,,4,,,,{'alert': ['Note:. .']},,
ANTH-332,ANTH,332,ANTH 332g,Anthropology and Narrative Medicine,"Exploration of illness, disability, and healing narratives, how narratives are culturally shaped, and their significance for western biomedical practices.",C,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
ANTH-336,ANTH,336,ANTH 336,"Health, Gender and Ethnicity","Cross-cultural notions of the body, health, and healing; historic and cultural variability of ideas of reproduction, birth, sexuality, mental illness and disability.",,,False,,4,(SWMS 210 or SWMS 212 or SWMS 215 or SWMS 219 or SWMS 221),,SWMS-336,"{'prereq': ['Prerequisite:1 from (SWMS 210orSWMS 212orSWMS 215orSWMS 219orSWMS 221)'], 'crosslist': ['Crosslist:This course is offered by theSWMSdepartment but may qualify for major credit inANTH. To register, enroll inSWMS 336.']}",,
ANTH-338,ANTH,338,ANTH 338g,Food in Culture and Society,"An introduction to the field of food studies, as a historical and cross-disciplinary study of the place of food in culture and society.",C,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
ANTH-345,ANTH,345,ANTH 345,"Politics, Social Organization and Law","Legal systems are embedded in political, social and historical contexts: comparative study of legal systems throughout history and around the world.",,,False,,4,,,,{},,
ANTH-372,ANTH,372,ANTH 372,Interpretation of Myth and Narrative,"Oral narratives from non-Western cultures; communications about deeply-held moral beliefs, psychological tensions, social problems, and the structure of the mind.",,,False,,4,,,,{},,
ANTH-410,ANTH,410,ANTH 410,Ethnographic Research Methods,"Survey of methods for acquiring and analyzing qualitative research data, emphasizing ethnographic methods for field research in Anthropology.",,,False,,4,,,,{},,
ANTH-415,ANTH,415,ANTH 415,Global Issues Seminar,"Advanced seminar on a key theme or topic in Global Studies selected by the instructor, with specific focus subject to change with each offering.",,,False,,4,,,,{},,
ANTH-440,ANTH,440,ANTH 440,History of Anthropological Theory,"Ideas about man, culture, and society which have formed the field of anthropology as a research discipline; present trends and problems.",,,False,,4,,,,{},,
ANTH-441,ANTH,441,ANTH 441w,Cities of the Middle East,"An examination of the economic, political and cultural forces operating in a number of Middle Eastern cities.",,,False,,4,,,MDES-441,"{'crosslist': ['Crosslist:This course is offered by theMDESdepartment but may qualify for major credit inANTH. To register, enroll inMDES 441.']}",,
ANTH-490,ANTH,490,ANTH 490x,Directed Research,Individual research and readings. Not available for graduate credit.,,,False,"1.0-8.0 units, max 12",,,,,"{'restriction': ['Restriction:Registration open to the following class level(s): Junior, Senior']}",,
ANTH-491,ANTH,491,ANTH 491,Directed Research for Honors,Individually guided research and readings culminating in the production of an honors thesis. prerequisite: 3.0 gpa; 201g plus 8 units of upper division ANTH courses.,,,False,,4,ANTH 201,,,{'prereq': ['Prerequisite:ANTH 201']},,
ANTH-501,ANTH,501,ANTH 501,History and Foundations of Anthropology,"A brief critical introduction to the history of anthropological thought over the course of the discipline's long twentieth century, from the 1880s to the present.",,,False,,4,,,,"{'restriction': ['Restriction:Registration open to the following class level(s): Doctoral Student, Master Student']}",,
ANTH-562,ANTH,562,ANTH 562,The Practice of Ethnography,Major approaches to ethnographic fieldwork are explored in classic cases.,,,False,,4,,,,{},,
ANTH-570,ANTH,570,ANTH 570,Topics in Ethnographic Media Arts,A hands-on approach to contemporary topics in ethnographic media arts and creative nonfiction cinema.,,,False,"2.0-6.0 units, max 12",,,,IML-570,"{'crosslist': ['Crosslist:This course is offered by theIMLdepartment but may qualify for major credit inANTH. To register, enroll inIML 570.']}",,
ANTH-575,ANTH,575,ANTH 575,Seminar in Ethnographic Film,"Survey of ethnographic film using both the dimensions of natural history descriptions and process, contrasted with naturalism and structuralism as tools of controlled comparison and analysis.",,,False,,4,,,,{},,
ANTH-590,ANTH,590,ANTH 590,Directed Research,Research conducted at the master's or pre-PhD candidacy level. Maximum units which may be applied to the degree to be determined by the department. Graded C/NC.,,,False,1.0-12.0 units,,,,,{},,
ANTH-593,ANTH,593,ANTH 593,Practicum for Teaching in Anthropology,Practical principles for the long-term development of effective teaching within the discipline of Anthropology. Intended for teaching assistants in Anthropology.,,,False,,2,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Anthropology', 'Restriction:Registration open to the following class level(s): Doctoral Student']}",,
ANTH-596,ANTH,596,ANTH 596,Internship for Curricular Practical Training,Part-time or full-time practical work experience in the student's field of study. The internship must be located at an off-campus facility. Students are individually supervised by faculty. May not be taken until the student has completed at least one semester of enrollment in the graduate program.,,,False,"1.0-3.0 units, max 3",,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Anthropology, Visual Anthropology', 'Restriction:Registration open to the following class level(s): Doctoral Student, Master Student, Professional Year 1']}",,
ANTH-790,ANTH,790,ANTH 790,Research,Research leading to the doctorate. Maximum number of units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,,{'restriction': ['Restriction:Registration open to the following class level(s): Doctoral Student']},,
ARCG-202,ARCG,202,ARCG 202g,Archaeology,"Archaeology as the means of investigating our shared human past, from the origins of humanity to the foundations of current civilization.",,,False,,4,,,ANTH-202,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'crosslist': ['Crosslist:This course is offered by theANTHdepartment but may qualify for major credit inARCG. To register, enroll inANTH 202.'], 'alert': ['Note:Register for lecture and discussion']}",,
ARCG-321,ARCG,321,ARCG 321,Greek Art and Archaeology,Survey of artistic works and monuments of ancient Greece from the Geometric through the Hellenistic period (c. 1000 - 30 BCE.).,,,False,,4,,,AHIS-321,"{'crosslist': ['Crosslist:This course is offered by theAHISdepartment but may qualify for major credit inARCG. To register, enroll inAHIS 321.']}",,
ARCG-334,ARCG,334,ARCG 334,"Space, Place, Perception and Power","The social construction of spaces, places, and landscapes and their reciprocal relationships to human embodied experiences, processes of identity formation and society.",,,False,,4,,,ANTH-321,"{'crosslist': ['Crosslist:This course is offered by theANTHdepartment but may qualify for major credit inARCG. To register, enroll inANTH 321.'], 'alert': ['Note:. .']}",,
ARCG-378,ARCG,378,ARCG 378,Jewish Magic in the Ancient World,A cross-cultural examination of different kinds of magical literature that describe miraculous practices in Jewish mainstream and marginal life in the ancient and classical periods.,,,False,,4,,,JS-378,"{'crosslist': ['Crosslist:This course is offered by theJSdepartment but may qualify for major credit inARCG. To register, enroll inJS 378.']}",,
ARCG-415,ARCG,415,ARCG 415,Object-Worlds,Developing strategies for analyzing what material culture of the past can tell us about the individuals and cultures that interacted with it.,,,False,,4,,,AHIS-415,"{'crosslist': ['Crosslist:This course is offered by theAHISdepartment but may qualify for major credit inARCG. To register, enroll inAHIS 415.']}",,
ARCG-490,ARCG,490,ARCG 490x,Directed Research,Individual research and readings. Not available for graduate credit.,,,False,"1.0-8.0 units, max 12",,,,,{},,
ARAB-122,ARAB,122,ARAB 122,Arabic I,"Introduction to Modern Standard Arabic: Development of speaking, listening, reading, and writing skills in contemporary cultural contexts. (Duplicates credit in former MDES 122)",,,False,,4,,,,{'alert': ['Note:D-clearance available atlanguage.usc.edu.']},,
ARAB-152,ARAB,152,ARAB 152,Arabic II,Continuation of Arabic I. Prerequisite: ARAB-122. (Duplicates credit in former MDES 152),,,False,,4,(ARAB 122 or MDES 122),,,{'prereq': ['Prerequisite:1 from (ARAB 122orMDES 122)']},,
ARAB-222,ARAB,222,ARAB 222,Arabic III,"Intermediate Modern Standard Arabic. Continued development of speaking, listening, reading, and writing skills. Prerequisite: ARAB 152. (Duplicates credit in former MDES 222)",,,False,,4,(ARAB 152 or MDES 152),,,{'prereq': ['Prerequisite:1 from (ARAB 152orMDES 152)']},,
ARAB-322,ARAB,322,ARAB 322,Advanced Arabic I,"Advanced expression in written and spoken Arabic, including reading of original texts, understanding different registers, and exposure to modern Arabic cultures.",,,False,,4,ARAB 252,,,{'prereq': ['Prerequisite:ARAB 252']},,
AHIS-100,AHIS,100,AHIS 100g,Introduction to Visual Culture,"The description and analysis of various forms of visual culture, including both mass media and ""high"" art representations, both Western and non-Western images.",B,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
AHIS-120,AHIS,120,AHIS 120gp,Foundations of Western Art,"Mediterranean and European art and architecture presented in historical, cultural and social context that introduces art history as a discipline.",A,H,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
AHIS-125,AHIS,125,AHIS 125gp,Arts of Asia,"An introduction to the major art forms and monuments of religious art in India, Southeast Asia, China and Japan from prehistory to1300.",A,H,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
AHIS-201,AHIS,201,AHIS 201g,Digging into the Past,"A broad survey, covering some 8,000 years and focusing on the material culture of the ancient world in a historical and social context.",B,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
AHIS-321,AHIS,321,AHIS 321,Greek Art and Archaeology,Survey of artistic works and monuments of ancient Greece from the Geometric through the Hellenistic period (c. 1000 - 30 BCE.).,,,False,,4,,,,{},,
AHIS-324,AHIS,324,AHIS 324,Late Antique Art and Archaeology,"Investigation of the transformation between classical antiquity and the middle ages through examination of cities, buildings, images and artifacts of the 3rd-8th-century Mediterranean.",,,False,,4,,,CLAS-324,"{'crosslist': ['Crosslist:This course is offered by theCLASdepartment but may qualify for major credit inAHIS. To register, enroll inCLAS 324.']}",,
AHIS-344,AHIS,344,AHIS 344,Baroque Art,"Painting, sculpture and architecture in 17th century Europe, north and south. Recommended preparation: AHIS 121",,,False,,4,,,,{},,
